| 미터법 | 가치 | 연도 | 소스 신뢰도 |
|---------|---------|------|------|
| 설립 | 2013 | 2013 | ★5 |
| 창립자 | 한 쉬 | — | ★4 |
| 모금액 총액(USD) | $50.8M | 2023년까지 | ★5 |
| 시리즈 C 리드 | 캐세이캐피탈 | 2023년 7월 | ★5 |
| 시리즈 C 후속작 | 소스 코드 캐피탈 | 2023년 7월 | ★5 |
| 전략적 투자자 | ENGIE(프랑스 국가 유틸리티) | 2023 | ★4 |
| 발전소 관리 | 3,000+ | 2023 | ★4 |
| 관리용량(GW) | 10세 이상 | 2023 | ★4 |
| 내재된 평균 스테이션 규모(MW) | ~3.3MW | 파생 | ★3 |
| 자회사 | Liansheng Power, Uper Energy, Aopu Storage | — | ★4 |
| 국제 사업 | SE 아시아, 중동, 유럽 | 2023 | ★3 |
| 내재 O&M 수익(CNY, 하한) | ~CNY 3억 | 2023 | ★2(모델 파생) |
