date,installed_capacity_mw,available_supply_mw,peak_load_mw,min_load_mw,reserve_mw,reserve_rate_pct,peak_timestamp_raw,min_timestamp_raw
2020-01-01,125333,96804,64007,,32797,51.2,2020/01/01(01:00),-
2020-01-02,125333,95372,77180,,18192,23.6,2020/01/02(10:00),-
2020-01-03,125333,96134,78269,,17865,22.8,2020/01/03(10:00),-
2020-01-04,125333,94481,65628,,28853,44.0,2020/01/04(01:00),-
2020-01-05,125333,93438,63231,,30207,47.8,2020/01/05(19:00),-
2020-01-06,125333,93842,81890,,11952,14.6,2020/01/06(11:00),-
2020-01-07,125333,94123,80147,,13976,17.4,2020/01/07(11:00),-
2020-01-08,125333,95463,79002,,16461,20.8,2020/01/08(11:00),-
2020-01-09,125333,96303,79160,,17143,21.7,2020/01/09(10:00),-
2020-01-10,125333,95000,79247,,15753,19.9,2020/01/10(10:00),-
2020-01-11,125333,93323,66148,,27175,41.1,2020/01/11(01:00),-
2020-01-12,125333,93783,64008,,29775,46.5,2020/01/12(19:00),-
2020-01-13,125333,94946,80242,,14704,18.3,2020/01/13(10:00),-
2020-01-14,125353,94425,82329,,12096,14.7,2020/01/14(10:00),-
2020-01-15,125353,95018,81195,,13823,17.0,2020/01/15(10:00),-
2020-01-16,125358,94735,82352,,12383,15.0,2020/01/16(10:00),-
2020-01-17,125358,94484,81303,,13181,16.2,2020/01/17(10:00),-
2020-01-18,125358,91928,67399,,24529,36.4,2020/01/18(09:00),-
2020-01-19,125358,92976,64497,,28479,44.2,2020/01/19(19:00),-
2020-01-20,125358,94545,78922,,15623,19.8,2020/01/20(10:00),-
2020-01-21,125358,95606,79627,,15979,20.1,2020/01/21(10:00),-
2020-01-22,125358,94816,81438,,13378,16.4,2020/01/22(01:00),-
2020-01-23,125358,95986,76229,,19757,25.9,2020/01/23(10:00),-
2020-01-24,125358,94657,60789,,33868,55.7,2020/01/24(01:00),-
2020-01-25,125358,92307,54692,,37615,68.8,2020/01/25(24:00),-
2020-01-26,125358,91368,55281,,36087,65.3,2020/01/26(24:00),-
2020-01-27,125358,91781,59961,,31820,53.1,2020/01/27(19:00),-
2020-01-28,125358,93600,72476,,21124,29.1,2020/01/28(10:00),-
2020-01-29,125358,94774,76016,,18758,24.7,2020/01/29(10:00),-
2020-01-30,125358,95263,74457,,20806,27.9,2020/01/30(10:00),-
2020-01-31,125358,95312,75262,,20050,26.6,2020/01/31(10:00),-
2020-02-01,125358,94104,63369,,30735,48.5,2020/02/01(01:00),-
2020-02-02,125358,95485,61882,,33603,54.3,2020/02/02(20:00),-
